BHK,Property-Price,Property_Type,City1,Property-On-Floor,Property-Facing,Age-Of-Property,Super-Built-up-Construction-Area,Carpet-Construction-Area,Bathroom,Furniture-Details,Current-Status,Location,No-Of-Lift-Per-Block,Parking-Details
3.0,180.0,Residential,Ahmedabad,0.0,North-East,38.0,1800.0,874.5,2.0,Semi-Furnished,Tenant-Occupied,A-Ghatlodia,2.0,Reserved-Parking
3.0,24.0,Commercial,Ahmedabad,1.0,South,2.0,666.0,874.5,1.0,Unfurnished,Empty,A-Chandkheda,2.0,Reserved-Parking
3.0,30.0,Residential,Ahmedabad,2.0,North-East,8.0,1215.0,874.5,2.0,Semi-Furnished,Empty,A-Sanand,2.0,Reserved-Parking
3.0,271.0,Commercial,Ahmedabad,0.0,East,12.0,2430.0,874.5,1.0,Semi-Furnished,Self-Occupied,A-Shahibaug,2.0,Common Parking
3.0,135.0,Commercial,Ahmedabad,0.0,East,0.5,904.0,874.5,1.0,Unfurnished,Empty,A-Chandkheda,2.0,Reserved-Basement
3.0,125.0,Commercial,Ahmedabad,1.0,East,13.0,400.0,320.0,1.0,Unfurnished,Tenant-Occupied,A-Chandlodia,2.0,Reserved-Parking
2.0,43.0,Residential,Ahmedabad,2.0,East,32.0,1080.0,810.0,1.0,Full-Furnished,Empty,A-Maninagar,2.0,Common Parking
2.0,45.0,Residential,Ahmedabad,3.0,East,25.0,1080.0,918.0,1.0,Semi-Furnished,Empty,A-Maninagar,2.0,Common Parking
5.0,80.0,Residential,Ahmedabad,0.0,East,50.0,1215.0,3348.0,4.0,Semi-Furnished,Self-Occupied,A-Shahpur,2.0,Common Parking
1.0,25.0,Residential,Ahmedabad,4.0,South,20.0,1215.0,874.5,1.0,Unfurnished,Self-Occupied,A-Ranip,0.0,Common Parking
5.0,525.0,Residential,Ahmedabad,3.0,East,10.0,1350.0,4374.0,5.0,Semi-Furnished,Self-Occupied,A-Science City,1.0,Reserved-Parking
4.0,620.0,Residential,Ahmedabad,0.0,East,15.0,3168.0,2529.0,5.0,Semi-Furnished,Self-Occupied,A-Satellite,2.0,Reserved-Parking
2.0,55.0,Residential,Pune,2.0,East,11.0,833.0,833.0,2.0,Full-Furnished,Self-Occupied,P-Keshavnagar,1.0,Reserved-Parking
1.0,185.0,Residential,Gandhinagar,1.0,East,1.0,4428.0,3078.0,1.0,Semi-Furnished,Empty,A-Adalaj,2.0,Reserved-Parking
4.0,331.0,Residential,Ahmedabad,0.0,East,5.0,1575.0,874.5,5.0,Full-Furnished,Empty,A-Shela,2.0,Reserved-Parking
5.0,135.0,Residential,Ahmedabad,0.0,South-West,50.0,5940.0,874.5,2.0,Unfurnished,Self-Occupied,A-raipur,2.0,Common Parking
3.0,285.0,Residential,Ahmedabad,0.0,West,50.0,2025.0,2025.0,4.0,Semi-Furnished,Self-Occupied,A-Maninagar,2.0,Common Parking
3.0,220.00000000000003,Residential,Ahmedabad,0.0,East,8.0,2250.0,1755.0,3.0,Full-Furnished,Self-Occupied,A-Satellite,2.0,Reserved-Parking
3.0,114.99999999999999,Residential,Ahmedabad,0.0,East,40.0,1980.0,874.5,2.0,Semi-Furnished,Tenant-Occupied,A-Ghatlodia,2.0,Common Parking
4.0,623.0,Residential,Ahmedabad,0.0,East,18.0,3600.0,874.5,5.0,Full-Furnished,Self-Occupied,A-Naranpura,2.0,Reserved-Parking
1.0,36.0,Residential,Ahmedabad,3.0,North,18.0,630.0,504.0,1.0,Semi-Furnished,Self-Occupied,A-Motera,1.0,Common Parking
3.0,330.0,Residential,Ahmedabad,1.0,West,17.0,1710.0,2385.0,3.0,Full-Furnished,Self-Occupied,A-Thaltej,2.0,Reserved-Parking
3.0,250.0,Residential,Ahmedabad,0.0,West,8.0,1215.0,3150.0,4.0,Full-Furnished,Self-Occupied,A-Vejalpur,2.0,Common Parking
3.0,35.0,Commercial,Ahmedabad,1.0,North,20.0,240.0,456.0,1.0,Unfurnished,Empty,A-Shahibaug,2.0,Common Parking
2.0,50.0,Residential,Ahmedabad,2.0,East,22.0,990.0,837.0,1.0,Full-Furnished,Self-Occupied,A-Ghatlodia,2.0,Common Parking
2.0,40.0,Residential,Ahmedabad,0.0,North,25.0,1215.0,456.0,2.0,Semi-Furnished,Self-Occupied,A-Motera,2.0,Common Parking
