active_property_index,active_location,active_bhk,active_price_lakhs,active_area_sqft,expired_property_index,expired_location,expired_bhk,expired_price_lakhs,expired_area_sqft,days_since_expiry,similarity_score,final_score,price_difference_pct,urgency_level,suggested_message
1125,A-Ghatlodia,3.0,76.0,1323.0,486,A-Ghatlodia,3.0,72.0,919.0,294.0,0.8375,0.9375,5.26,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Ghatlodia at a very similar price point (₹72.0L). This is very similar to your 3BHK property in A-Ghatlodia. Would you like to renew your package to capture these leads?
623,A-Ranip,3.0,114.99999999999999,1215.0,1517,A-Ranip,4.0,130.0,1908.0,71.0,0.8798,1.0088,13.04,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Ranip at a premium price (₹130.0L vs ₹115.0L). This is very similar to your 4BHK property in A-Ranip. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
623,A-Ranip,3.0,114.99999999999999,1215.0,523,A-Nava Vadaj,2.0,105.0,1215.0,179.0,0.8364,0.9364,8.7,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Ranip at a very similar price point (₹105.0L). This is very similar to your 2BHK property in A-Nava Vadaj. Would you like to renew your package to capture these leads?
623,A-Ranip,3.0,114.99999999999999,1215.0,662,A-Ranip,2.0,110.00000000000001,1215.0,127.0,0.8022,0.9022,4.35,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Ranip at a very similar price point (₹110.0L). This is very similar to your 2BHK property in A-Ranip. Would you like to renew your package to capture these leads?
898,A-Naranpura,5.0,390.0,3375.0,672,A-SG Highway,5.0,355.0,2385.0,28.0,0.8225,0.8945,8.97,High,"Hi! We're receiving active inquiries for a 5BHK property in A-Naranpura at a very similar price point (₹355.0L). This is very similar to your 5BHK property in A-SG Highway. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
898,A-Naranpura,5.0,390.0,3375.0,626,A-Shela,5.0,375.0,3240.0,87.0,0.8369,0.8499,3.85,Medium,Hi! We're receiving active inquiries for a 5BHK property in A-Naranpura at a very similar price point (₹375.0L). This is very similar to your 5BHK property in A-Shela. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
745,P-Kondhwa,2.0,70.0,1027.0,989,A-Changodar,3.0,58.0,1215.0,26.0,0.81,0.884,17.14,High,"Hi! We're receiving active inquiries for a 2BHK property in P-Kondhwa at a slightly lower price (₹58.0L vs ₹70.0L). This is very similar to your 3BHK property in A-Changodar. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
745,P-Kondhwa,2.0,70.0,1027.0,350,A-New Ranip,1.0,75.0,1215.0,12.0,0.7766,0.8646,7.14,High,"Hi! We're receiving active inquiries for a 2BHK property in P-Kondhwa at a very similar price point (₹75.0L). This is very similar to your 1BHK property in A-New Ranip. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
745,P-Kondhwa,2.0,70.0,1027.0,906,A-Bopal,3.0,63.0,1530.0,34.0,0.7916,0.8576,10.0,Medium,Hi! We're receiving active inquiries for a 2BHK property in P-Kondhwa at a slightly lower price (₹63.0L vs ₹70.0L). This is very similar to your 3BHK property in A-Bopal. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
745,P-Kondhwa,2.0,70.0,1027.0,1582,A-Shela,3.0,72.0,1436.0,65.0,0.8034,0.8384,2.86,Medium,Hi! We're receiving active inquiries for a 2BHK property in P-Kondhwa at a very similar price point (₹72.0L). This is very similar to your 3BHK property in A-Shela. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
745,P-Kondhwa,2.0,70.0,1027.0,566,A-Kasindra,2.0,60.0,1215.0,124.0,0.8202,0.8202,14.29,Low,Hi! We're receiving active inquiries for a 2BHK property in P-Kondhwa at a slightly lower price (₹60.0L vs ₹70.0L). This is very similar to your 2BHK property in A-Kasindra. Would you like to renew your package to capture these leads?
260,A-Ambawadi,3.0,55.0,901.0,39,A-Ambawadi,3.0,50.0,1000.0,177.0,0.8744,0.9744,9.09,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Ambawadi at a very similar price point (₹50.0L). This is very similar to your 3BHK property in A-Ambawadi. Would you like to renew your package to capture these leads?
